,english,francais
4770,extending,extension
4771,dna,adn
4772,eliminating,éliminant
4773,neighboring,voisin
4774,innocent,innocent
4775,designing,conception
4776,innovative,novateur
4777,artificial,artificiel
4778,politically,politiquement
4779,newsletter,bulletin
4780,resign,démissionner
4781,medicine,médecine
4782,advised,informé
4783,guards,gardes
4784,slowed,ralenti
4785,strengthen,renforcer
4786,uranium,uranium
4787,through,par
4788,subordinated,subordonnés
4789,tone,ton
4790,threw,jeta
4791,cattle,bétail
4792,arrival,arrivée
4793,bps,bps
4794,blow,coup
4795,unlimited,illimité
4796,orleans,orléans
4797,acquiring,acquisition
4798,firing,tir
4799,drinking,potable
4800,vessels,navires
4801,arrests,arrestations
4802,lands,terres
4803,networked,réseau
4804,triggered,déclenché
4805,visiting,visite
4806,smooth,lisse
4807,youth,jeunesse
4808,belief,croyance
4809,discounts,réductions
4810,water,eau
4811,cables,câbles
4812,buried,enterré
4813,shamir,shamir
4814,plot,parcelle
4815,good,bon
4816,registration,inscription
4817,spectra,spectres
4818,forget,oublier
4819,throw,jeter
4820,succeeded,réussi
4821,bundled,fourni
4822,nb,nb
4823,monitored,surveillé
4824,circulation,circulation
4825,magazine,magazine
4826,styles,styles
4827,trillion,billion
4828,sachs,sachs
4829,domain,domaine
4830,suggestions,suggestions
4831,detect,détecter
4832,gordon,gordon
4833,vector,vecteur
4834,ct,ct
4835,variations,variations
4836,dropping,largage
4837,ansi,ansi
4838,afraid,peur
4839,mvs,mvs
4840,authority,autorité
4841,gathering,rassemblement
4842,wild,sauvage
4843,chains,chaînes
4844,outlined,décrit
4845,stepped,étagé
4846,mathematical,mathématique
4847,trials,essais
4848,universities,universités
4849,injection,injection
4850,analog,analogique
4851,identity,identité
4852,margaret,margaret
4853,definitely,certainement
4854,stick,bâton
4855,pitch,terrain
4856,sluggish,léthargique
4857,afghan,afghan
4858,patrick,patrick
4859,instruments,instruments
4860,ring,anneau
4861,skin,peau
4862,md,md
4863,grade,grade
4864,pagemaker,pagemaker
4865,assess,évaluer
4866,hayes,hayes
4867,swap,échange
4868,markets,marchés
4869,directories,répertoires
4870,roberts,roberts
4871,ultimate,ultime
4872,kohl,khôl
4873,likes,goûts
4874,lunch,déjeuner
4875,establishment,établissement
4876,ventura,ventura
4877,current,courant
4878,handful,poignée
4879,unrest,troubles
4880,interpretation,interprétation
4881,commonly,communément
4882,fujitsu,fujitsu
4883,quake,trembler
4884,considers,considère
4885,nicaraguan,nicaraguayen
4886,cleanup,nettoyer
4887,agrees,accepte
4888,co,co
4889,solved,résolu
4890,manages,gère
4891,passes,passes
4892,symphony,symphonie
4893,manuals,manuels
4894,engaged,engagé
4895,following,suivant
4896,neighbors,voisins
4897,barred,barré
4898,miners,mineurs
4899,retained,retenu
4900,extended,prolongé
4901,wood,bois
4902,posts,postes
4903,hire,embaucher
4904,technical,technique
4905,cia,cia
4906,proof,preuve
4907,harry,harceler
4908,proportion,proportion
4909,analyze,analyser
4910,swedish,suédois
4911,academic,académique
4912,flood,inondation
4913,in-house,interne
4914,inmates,détenus
4915,edi,edi
4916,favored,favorisé
4917,prints,gravures
4918,escaped,échappé
4919,sam,sam
4920,unfair,injuste
4921,relation,rapport
4922,ions,ions
4923,volatile,volatil
4924,utilities,utilitaires
4925,scanners,scanners
4926,parking,parking
4927,rocks,roches
4928,reveal,révéler
4929,senator,sénateur
4930,uniform,uniforme
4931,vulnerable,vulnérable
4932,plea,appel
4933,anybody,personne
4934,matching,assorti
4935,fleet,flotte
4936,robinson,robinson
4937,connecticut,connecticut
4938,van,van
4939,urging,exhortant
4940,editors,éditeurs
4941,effectiveness,efficacité
4942,praised,loué
4943,anc,anc
4944,telecommunications,télécommunications
4945,translation,traduction
4946,schedules,horaires
4947,who,qui
4948,organic,organique
4949,creative,créatif
4950,letting,location
4951,thanks,merci
4952,manipulation,manipulation
4953,pixels,pixels
4954,lcd,lcd
4955,dance,danse
4956,maxwell,maxwell
4957,tony,tony
4958,territories,territoires
4959,emerge,émerger
4960,animation,animation
4961,limiting,limitant
4962,ray,rayon
4963,ed,ed
4964,wonderful,merveilleux
4965,boss,patron
4966,publications,publications
4967,customized,personnalisé
4968,publicity,publicité
4969,freeze,geler
4970,siemens,siemens
4971,merchandise,marchandises
4972,height,hauteur
4973,possibilities,possibilités
4974,syria,syrie
4975,montana,montana
4976,centre,centre
4977,crackdown,répression
4978,spirit,esprit
4979,scattering,diffusion
4980,extreme,extrême
4981,ethics,éthique
4982,budgets,budgets
4983,suggesting,suggérant
4984,binary,binaire
4985,mounted,monté
4986,conjunction,conjonction
4987,classic,classique
4988,steven,steven
4989,las,las
4990,retrieval,récupération
4991,wiring,câblage
4992,brussels,bruxelles
4993,projections,projections
4994,nominee,candidat
4995,valid,valide
4996,brands,marques
4997,arts,lettres
4998,lock,bloquer
4999,painting,peinture
5000,unclear,incertain
5001,sensitivity,sensibilité
5002,filter,filtre
5003,museum,musée
5004,tries,essais
5005,justify,justifier
5006,hazardous,hasardeux
5007,migration,migration
5008,carl,carl
5009,brothers,frères
5010,devoted,dévoué
5011,idaho,idaho
5012,mortgage,hypothèque
5013,norton,norton
5014,rocket,fusée
5015,philosophy,philosophie
5016,proven,éprouvé
5017,magnitude,ampleur
5018,dell,dell
5019,girls,filles
5020,crystal,cristal
5021,drawings,dessins
5022,citicorp,citicorp
5023,feared,redouté
5024,giants,giants
5025,reads,lit
5026,adjustment,ajustement
5027,interrupt,interrompre
5028,gates,portes
5029,portions,portions
5030,conservative,conservateur
5031,scored,marqué
5032,communists,communistes
5033,billing,facturation
5034,upset,dérangé
5035,intensity,intensité
5036,jesse,jesse
5037,songs,chansons
5038,separated,séparé
5039,tower,tour
5040,lebanese,libanais
5041,plate,plaque
5042,policy,politique
5043,highway,autoroute
5044,housing,logement
5045,expecting,enceinte
5046,calculate,calculer
5047,nevada,nevada
5048,subjects,sujets
5049,israelis,israéliens
5050,greek,grecque
5051,shultz,shultz
5052,seven,sept
5053,methodology,méthodologie
5054,adjust,ajuster
5055,scotland,Écosse
5056,decreased,diminué
5057,describing,décrivant
5058,challenged,contesté
5059,dakota,dakota
5060,borders,limites
5061,titles,titres
5062,whether,si
5063,specialty,spécialité
5064,mitsubishi,mitsubishi
5065,dogs,chiens
5066,processed,traité
5067,upward,ascendant
5068,phillips,phillips
5069,midnight,minuit
5070,furniture,meubles
5071,hutton,hutton
5072,plan,plan
5073,desert,désert
5074,smart,intelligent
5075,luxury,luxe
5076,noting,notant
5077,formatting,formatage
5078,usda,usda
5079,yesterday,hier
5080,appealed,appel
5081,free,gratuit
5082,toxic,toxique
5083,station,station
5084,slowdown,ralentissez
5085,accelerator,accélérateur
5086,discusses,discute
5087,loads,charges
5088,banking,bancaire
5089,silicon,silicium
5090,slump,marasme
5091,kentucky,kentucky
5092,old,vieux
5093,shots,coups
5094,velocity,vitesse
5095,weapon,arme
5096,ill,malade
5097,right,droit
5098,artist,artiste
5099,rows,rangées
5100,use,utilisation
5101,whites,blancs
5102,cycles,cycles
5103,excessive,excessif
5104,additional,supplémentaire
5105,lie,mensonge
5106,salvador,salvador
5107,berkeley,berkeley
5108,herself,se
5109,addressing,adressage
5110,given,donné
5111,show,spectacle
5112,notes,remarques
5113,encountered,rencontré
5114,baltimore,baltimore
5115,bargain,négocier
5116,sentiment,sentiment
5117,interviewed,interviewé
5118,czechoslovakia,tchécoslovaquie
5119,jets,jets
5120,approached,approché
5121,deputy,adjoint
5122,reactors,réacteurs
5123,thrifts,thrifts
5124,assured,assuré
5125,exceeded,dépassé
5126,household,ménage
5127,dot,point
5128,boundary,limite
5129,competitor,concurrent
5130,beef,bœuf
5131,sunnyvale,sunnyvale
5132,computer-aided,informatisé
5133,strip,bande
5134,sometimes,parfois
5135,nobody,personne
5136,nervous,nerveux
5137,frozen,gelé
5138,ada,ada
5139,vegas,vegas
5140,terrorist,terroriste
5141,concentrated,concentré
5142,disputes,différends
5143,elizabeth,elizabeth
5144,song,chanson
5145,suite,suite
5146,responsibilities,responsabilités
5147,window,fenêtre
5148,advisory,consultatif
5149,dictionary,dictionnaire
5150,hub,moyeu
5151,cartridges,cartouches
5152,simultaneous,simultané
5153,bail,caution
5154,publisher,Éditeur
5155,it,it
5156,television,télévision
5157,recalls,rappels
5158,thrown,jeté
5159,conducting,conduite
5160,promoting,promotion
5161,peaceful,pacifique
5162,qualified,qualifié
5163,tourists,touristes
5164,considerations,considérations
5165,therapy,thérapie
5166,batteries,batteries
5167,gallon,gallon
5168,banker,banquier
5169,oakland,oakland
5170,partially,partiellement
5171,early,tôt
5172,guide,guide
5173,montreal,montréal
5174,norman,normand
5175,cleaning,nettoyage
5176,alabama,alabama
5177,conflicts,conflits
5178,bag,sac
5179,family,famille
5180,call,appel
5181,commercial,commercial
5182,negotiators,négociateurs
5183,blast,explosion
5184,wastes,déchets
5185,ontario,ontario
5186,restored,restaurée
5187,thereby,ainsi
5188,modification,modification
5189,meese,meese
5190,vacation,vacances
5191,verdict,verdict
5192,precise,précis
5193,sun,soleil
5194,fate,sort
5195,width,largeur
5196,computerized,informatisé
5197,ceiling,plafond
5198,spite,dépit
5199,bennett,bennett
5200,stuck,collé
5201,consisting,constitué
5202,taste,goût
5203,panamanian,panaméen
5204,enter,entrer
5205,participating,participant
5206,philips,philips
5207,tehran,téhéran
5208,campaigns,campagnes
5209,3d,3d
5210,ron,ron
5211,passage,passage
5212,commit,commettre
5213,mountain,montagne
5214,eager,désireux
5215,arts,lettres
5216,hud,hud
5217,wash,laver
5218,broadcasting,radiodiffusion
5219,bags,sacs
5220,edged,bordé
5221,cincinnati,cincinnati
5222,ignore,ignorer
5223,stolen,volé
5224,transparent,transparent
5225,roof,toit
5226,code,code
5227,binding,obligatoire
5228,insists,insiste
5229,convenient,pratique
5230,cool,frais
5231,notion,notion
5232,resolutions,résolutions
5233,march,mars
5234,bombs,bombes
5235,affecting,affectant
5236,discussing,discuter
5237,sixth,sixième
5238,surfaces,surfaces
5239,syrian,syrien
5240,enjoyed,apprécié
5241,correctly,correctement
5242,incidents,incidents
5243,disappeared,disparu
5244,wealth,richesse
5245,manipulate,manipuler
5246,conservation,préservation
5247,gao,gao
5248,delaware,delaware
5249,rose,rose
5250,surveys,enquêtes
5251,gsa,gsa
5252,strongest,fort
5253,admit,admettre
5254,express,exprimer
5255,mandatory,obligatoire
5256,realistic,réaliste
5257,evans,evans
5258,longtime,longtemps
5259,bone,os
5260,earth,terre
5261,emotional,émotionnel
5262,commodities,produits
5263,attending,assister
5264,gui,gui
5265,supports,supports
5266,warrant,mandat
5267,absolute,absolu
5268,drink,boisson
5269,preserve,préserver
5270,accessed,accédé
5271,reviewing,révision
5272,viewing,visualisation
5273,apollo,apollon
5274,cruz,cruz
5275,antitrust,antitrust
5276,flows,flux
5277,marshall,marshall
5278,hall,salle
5279,walking,marche
5280,airways,airways
5281,robust,robuste
5282,roles,rôles
5283,kremlin,kremlin
5284,defects,défauts
5285,legislators,législateurs
5286,hitachi,hitachi
5287,incoming,nouveau
5288,robertson,robertson
5289,radar,radar
5290,complain,plaindre
5291,colombia,colombie
5292,ten,dix
5293,instrument,instrument
5294,machinery,machinerie
5295,voluntary,volontaire
5296,evaluating,évaluer
5297,sudden,soudain
5298,bitter,amer
5299,ousted,évincé
5300,voltage,tension
5301,adult,adulte
5302,premier,premier
5303,initiated,initié
5304,operation,opération
5305,threatening,menaçant
5306,mistakes,erreurs
5307,disabled,handicapé
5308,neutral,neutre
5309,endorsed,approuvé
5310,disappointing,décevant
5311,subscribers,abonnés
5312,slowing,ralentissement
5313,craig,craig
5314,ballot,scrutin
5315,plain,plaine
5316,debut,début
5317,immune,immunitaire
5318,microprocessors,microprocesseurs
5319,ad,ad
5320,modular,modulaire
5321,fare,aller
5322,introducing,introduction
5323,shed,hangar
5324,bulletin,bulletin
5325,wayne,wayne
5326,doubts,doutes
5327,aluminum,aluminium
5328,decnet,decnet
5329,employ,employer
5330,bridge,pont
5331,funeral,funérailles
5332,satisfactory,satisfaisant
5333,league,ligue
5334,mcdonnell,mcdonnell
5335,utilization,utilisation
5336,removing,enlever
5337,gene,gène
5338,prize,prix
5339,corps,corps
5340,flight,vol
5341,referendum,référendum
5342,unit,unité
5343,media,médias
5344,consolidation,consolidation
5345,accepting,acceptant
5346,mood,humeur
5347,officer,officier
5348,hawaii,hawaii
5349,clinton,clinton
5350,infrastructure,infrastructure
5351,merged,fusionné
5352,awaiting,attente
5353,exciting,passionnant
5354,nearly,presque
5355,newsbytes,newsbytes
5356,viable,viable
5357,dave,dave
5358,bet,pari
5359,refer,référer
5360,oak,chêne
5361,constantly,constamment
5362,dual,double
5363,suspects,suspects
5364,hits,résultats
5365,sandinista,sandiniste
5366,compilers,compilateurs
5367,taught,enseigné
5368,offshore,mer
5369,ratios,ratios
5370,remainder,reste
5371,chase,chasse
5372,deciding,décider
5373,moslems,musulmans
5374,1st,1er
5375,propose,proposer
5376,yeltsin,eltsine
5377,compares,compare
5378,strain,souche
5379,severely,sévèrement
5380,mapping,cartographie
5381,deeply,profondément
5382,maturity,maturité
5383,sullivan,sullivan
5384,kim,kim
5385,floating,flottant
5386,sole,unique
5387,quotas,quotas
5388,harvest,récolte
5389,analysis,analyse
5390,machines,machines
5391,filling,remplissage
5392,birthday,anniversaire
5393,photographs,photographies
5394,ann,ann
5395,confirmation,confirmation
5396,token,jeton
5397,rice,riz
5398,see,voir
5399,consolidated,consolidé
5400,signing,signature
5401,adams,adams
5402,minneapolis,minneapolis
5403,packets,paquets
5404,albert,albert
5405,mature,mature
5406,rush,rush
5407,nor,ni
5408,teach,enseigner
5409,visits,visites
5410,new,nouveau
5411,medicare,medicare
5412,delete,effacer
5413,topic,sujet
5414,contended,soutenu
5415,analytical,analytique
5416,gallons,gallons
5417,refuse,refuser
5418,leasing,location
5419,counting,compte
5420,spots,taches
5421,insist,insister
5422,suspension,suspension
5423,correlation,corrélation
5424,plug,fiche
5425,indicator,indicateur
5426,destroy,détruire
5427,quantity,quantité
5428,note,remarque
5429,tonnes,tonnes
5430,shortages,pénuries
5431,frames,cadres
5432,carlos,carlos
5433,physics,physique
5434,indicators,indicateurs
5435,barrier,barrière
5436,commissioner,commissaire
5437,publish,publier
5438,dimensions,dimensions
5439,rent,louer
5440,persuade,persuader
5441,memory,mémoire
5442,phases,phases
5443,sprint,sprint
5444,clashes,affrontements
5445,infected,infecté
5446,sight,vue
5447,otc,otc
5448,liberal,libéral
5449,ambitious,ambitieux
5450,formulas,formules
5451,e-mail,email
5452,sampling,échantillonnage
5453,ega,ega
5454,paragraph,paragraphe
5455,rouge,rouge
5456,facilitate,faciliter
5457,institute,institut
5458,efficiently,efficacement
5459,discovery,découverte
5460,fares,tarifs
5461,packed,emballé
5462,detained,détenu
5463,insider,initié
5464,prevented,empêché
5465,dealt,traité
5466,steadily,régulièrement
5467,upheld,confirmé
5468,phones,téléphones
5469,diplomat,diplomate
5470,avoided,évité
5471,tissue,tissu
5472,lloyd,lloyd
5473,composed,composé
5474,mental,mental
5475,argentina,argentine
5476,steep,raide
5477,easing,assouplissement
5478,replied,répliqua
5479,walesa,walesa
5480,tear,déchirer
5481,enterprises,entreprises
5482,root,racine
5483,murphy,murphy
5484,declaration,déclaration
5485,retrieve,récupérer
5486,4th,4e
5487,pointing,jointoiement
5488,allocation,allocation
5489,fe,fe
5490,leg,jambe
5491,three-dimensional,tridimensionnel
5492,proposes,propose
5493,precious,précieux
5494,refugee,réfugié
5495,helicopters,hélicoptères
5496,winners,gagnants
5497,enabling,permettant
5498,far,loin
5499,connector,connecteur
5500,moral,moral
5501,salt,sel
5502,trace,trace
5503,indians,indiens
5504,hosts,hôtes
5505,atomic,atomique
5506,golf,golf
5507,reasonably,raisonnablement
5508,cable,câble
5509,varying,variable
5510,kevin,kevin
5511,studio,studio
5512,queries,requêtes
5513,fuels,carburants
5514,beautiful,beau
5515,reject,rejeter
5516,personally,personnellement
5517,insurers,assureurs
5518,absorption,absorption
5519,internal,interne
5520,lab,laboratoire
5521,consistently,toujours
5522,dbase,dbase
5523,casualties,victimes
5524,proxy,procuration
5525,object,objet
5526,poorly,pauvrement
5527,scenario,scénario
5528,applying,application
5529,byte,octet
5530,branch,branche
5531,employer,employeur
5532,chris,chris
5533,yellow,jaune
5534,equities,actions
5535,behaviour,comportement
5536,plains,plains
5537,illegally,illégalement
5538,sick,malade
5539,tandy,tandy
5540,dealings,relations
5541,announcements,annonces
5542,alliance,alliance
5543,image,image
5544,gray,gris
5545,crowded,bondé
5546,catalog,catalogue
5547,searches,recherches
5548,alter,modifier
5549,banks,banques
5550,detector,détecteur
5551,modifications,modifications
5552,plunge,plongeon
5553,symbols,symboles
5554,crews,équipages
5555,poverty,pauvreté
5556,substance,substance
5557,firefighters,pompiers
5558,explore,explorer
5559,surprisingly,étonnement
5560,b,b
5561,soldier,soldat
5562,lung,poumon
5563,reports,rapports
5564,conversation,conversation
5565,edwards,edwards
5566,tab,languette
5567,aging,vieillissement
5568,viruses,virus
5569,liked,aimé
5570,definitions,définitions
5571,protein,protéine
5572,readily,facilement
5573,environment,environnement
5574,pop,pop
5575,reversed,renversé
5576,intermediate,intermédiaire
5577,answered,répondu
5578,lambert,lambert
5579,regulatory,réglementation
5580,allied,allié
5581,ieee,ieee
5582,suicide,suicide
5583,cheney,cheney
5584,weaker,faible
5585,tower,tour
5586,aldus,aldus
5587,vacuum,vide
5588,destruction,destruction
5589,deposition,déposition
5590,handed,main
5591,trigger,gâchette
5592,comedy,comédie
5593,brady,brady
5594,incorporates,incorpore
5595,motif,motif
5596,credibility,crédibilité
5597,ast,ast
5598,members,membres
5599,preference,préférence
5600,conclusions,conclusions
5601,diverse,divers
5602,pressed,pressé
5603,tag,balise
5604,immigrants,immigrés
5605,biological,biologique
5606,billions,milliards
5607,impressed,impressionné
5608,viewers,téléspectateurs
5609,enhancement,renforcement
5610,oem,oem
5611,fire,feu
5612,wells,puits
5613,sco,sco
5614,clubs,clubs
5615,testify,témoigner
5616,killings,meurtres
5617,fits,fits
5618,counties,comtés
5619,gate,porte
5620,adjacent,adjacent
5621,violating,violer
5622,tip,pointe
5623,sequences,séquences
5624,noticed,remarqué
5625,differ,différer
5626,forecasting,prévision
5627,protecting,protéger
5628,holes,trous
5629,legitimate,légitime
5630,unnecessary,inutile
5631,issuing,délivrance
5632,molecular,moléculaire
5633,surrounded,entouré
5634,jurors,jurés
5635,partnerships,partenariats
5636,remarkable,remarquable
5637,gear,équipement
5638,variation,variation
5639,staying,rester
5640,significance,importance
5641,priorities,priorités
5642,troubles,troubles
5643,portland,portland
5644,suited,adapté
5645,rights,droits
5646,staff,personnel
5647,adjustments,ajustements
5648,welcomed,accueilli
5649,cray,cray
5650,aquino,aquino
5651,withdrew,retiré
5652,cm,cm
5653,rome,rome
5654,distinct,distinct
5655,2nd,2e
5656,arkansas,arkansas
5657,directions,instructions
5658,interior,intérieur
5659,scanned,numérisée
5660,residence,résidence
5661,oxide,oxyde
5662,angola,angola
5663,excited,excité
5664,tanker,pétrolier
5665,nasdaq,nasdaq
5666,corrosion,corrosion
5667,trips,voyages
5668,defines,définit
5669,knowing,connaissance
5670,repeat,répétition
5671,disk,disque
5672,mount,monture
5673,promoted,promu
5674,few,peu
5675,gauge,jauge
5676,liver,foie
5677,nancy,nancy
5678,tensions,tensions
5679,alarm,alarme
5680,diseases,maladies
5681,guests,clients
5682,ordering,commande
5683,tactics,tactique
5684,reseller,revendeur
5685,tumor,tumeur
5686,mergers,fusions
5687,edition,Édition
5688,activist,militant
5689,sweeping,balayage
5690,costa,costa
5691,climb,montée
5692,peace,paix
5693,picking,cueillette
5694,gases,gaz
5695,gateways,passerelles
5696,ira,ira
5697,curves,courbes
5698,warnings,avertissements
5699,palestine,palestine
5700,manuel,manuel
5701,customs,douane
5702,guidance,orientation
5703,accordance,conformité
5704,silver,argent
5705,action,action
5706,imagine,imaginer
5707,burnham,burnham
5708,minimize,minimiser
5709,aims,objectifs
5710,socialist,socialiste
5711,chest,poitrine
5712,funded,financés
5713,milken,milken
5714,futures,futures
5715,marketed,commercialisé
5716,peripheral,périphérique
5717,embargo,embargo
5718,unexpected,inattendu
5719,pulse,impulsion
5720,youths,jeunes
5721,hitting,frappe
5722,amendment,amendement
5723,miss,manquer
5724,perez,perez
5725,amounted,élève
5726,owed,dû
5727,aix,aix
5728,convince,convaincre
5729,impression,impression
5730,sentences,phrases
5731,terrorism,terrorisme
5732,qualify,qualifier
5733,repository,dépôt
5734,trains,trains
5735,responding,répondre
5736,boot,botte
5737,bundesbank,bundesbank
5738,instances,cas
5739,observations,observations
5740,obligations,obligations
5741,comdex,comdex
5742,portable,portable
5743,field,domaine
5744,automotive,automobile
5745,forming,formation
5746,wing,aile
5747,rs,rs
5748,zurich,zurich
5749,reader,lecteur
5750,sparked,déclenché
5751,stone,pierre
5752,cambodia,cambodge
5753,pat,tapoter
5754,riot,émeute
5755,inevitable,inévitable
5756,re-election,réélection
5757,precisely,précisément
5758,sleep,sommeil
5759,downturn,ralentissement
5760,sandinistas,sandinistes
5761,strict,strict
5762,induced,induite
5763,monopoly,monopole
5764,occupation,occupation
5765,link,lien
5766,warren,garenne
5767,wins,victoires
5768,implementations,implémentations
5769,manila,manille
5770,opera,opéra
5771,lithuania,lituanie
5772,fined,amende
5773,samuel,samuel
5774,puerto,puerto
5775,christopher,christopher
5776,du,du
5777,seasonally,saisonnière
5778,performances,performances
5779,shell,coquille
5780,enthusiasm,enthousiasme
5781,reed,roseau
5782,pork,porc
5783,belgium,belgique
5784,campeau,campeau
5785,suburb,banlieue
5786,palette,palette
5787,verification,vérification
5788,folks,gens
5789,leased,loué
5790,ultrix,ultrix
5791,boats,bateaux
5792,commitments,engagements
5793,noon,midi
5794,coach,entraîneur
5795,toyota,toyota
5796,interpreted,interprété
5797,placement,placement
5798,gift,cadeau
5799,battles,batailles
5800,having,avoir
5801,rock,rock
5802,cooperate,coopérer
5803,buys,achats
5804,hospitalized,hospitalisé
5805,kelly,kelly
5806,arrays,tableaux
5807,commissioner,commissaire
5808,autocad,autocad
5809,singer,chanteur
5810,bargaining,marchandage
5811,swept,balayé
5812,advocates,défenseurs
5813,hamilton,hamilton
5814,convenience,commodité
5815,angle,angle
5816,case,cas
5817,montgomery,montgomery
5818,vienna,vienne
5819,recent,récent
5820,va,virginie
5821,nursing,soins
5822,shevardnadze,chevardnadze
5823,admits,admet
5824,ai,ai
5825,indexes,index
5826,entity,entité
5827,fusion,fusion
5828,click,clic
5829,postal,postal
5830,possession,possession
5831,foods,aliments
5832,halted,arrêté
5833,financed,financé
5834,tends,tend
5835,expenditures,dépenses
5836,federation,fédération
5837,entities,entités
5838,justices,juges
5839,volunteers,bénévoles
5840,stewart,stewart
5841,immigration,immigration
5842,interoperability,interopérabilité
5843,1950s,1950
5844,birds,oiseaux
5845,rogers,rogers
5846,graham,graham
5847,columbus,colomb
5848,cigarette,cigarette
5849,ash,cendre
5850,fed,fed
5851,restrict,restreindre
5852,compuserve,compuserve
5853,money,argent
5854,kuwaiti,koweïtien
5855,relating,relative
5856,assumption,hypothèse
5857,calm,calme
5858,illness,maladie
5859,fan,ventilateur
5860,predecessor,prédécesseur
5861,defensive,défensive
5862,diagnosis,diagnostic
5863,cohen,cohen
5864,creek,ruisseau
5865,postponed,reporté
5866,evident,évident
5867,underwriters,souscripteurs
5868,featured,sélectionnée
5869,rough,rugueux
5870,tension,tension
5871,obligation,obligation
5872,ems,ems
5873,pop-up,surgir
5874,shoes,chaussures
5875,jailed,emprisonné
5876,in,en
5877,album,album
5878,defended,défendu
5879,bear,ours
5880,spin,tourner
5881,sw,sw
5882,actress,actrice
5883,susan,susan
5884,review,examen
5885,unity,unité
5886,beating,battement
5887,odds,cote
5888,proud,fier
5889,phase,phase
5890,light,lumière
5891,patents,brevets
5892,flux,flux
5893,fighter,combattant
5894,cooper,tonnelier
5895,rebound,rebondir
5896,coal,charbon
5897,alert,alerte
5898,zones,zones
5899,newwave,newwave
5900,tax,impôt
5901,banyan,banian
5902,unification,unification
5903,touched,touché
5904,cameras,caméras
5905,cluster,grappe
5906,distributed,distribué
5907,shelter,abri
5908,fdic,fdic
5909,transmit,transmettre
5910,diffusion,diffusion
5911,aggressively,agressivement
5912,queue,file
5913,households,ménages
5914,pont,pont
5915,pen,stylo
5916,independently,indépendamment
5917,assign,assigner
5918,vowed,juré
5919,key,clé
5920,metropolitan,métropolitain
5921,obtaining,obtention
5922,filters,filtres
5923,questioning,interrogatoire
5924,mo,mo
5925,router,routeur
5926,interest,intérêt
5927,stem,tige
5928,forum,forum
5929,lobbying,pression
5930,diameter,diamètre
5931,financially,financièrement
5932,sterling,sterling
5933,solutions,solutions
5934,vars,var
5935,ranked,classé
5936,minds,esprits
5937,straightforward,simple
5938,mere,simple
5939,lengthy,longue
5940,worth,valeur
5941,orientation,orientation
5942,tens,dizaines
5943,bat,bat
5944,raid,raid
5945,inner,intérieur
5946,costing,coûts
5947,li,li
5948,mm,mm
5949,productive,productif
5950,everywhere,partout
5951,assure,assurer
5952,mountains,montagnes
5953,suggestion,suggestion
5954,intelligence,intelligence
5955,clone,cloner
5956,beach,plage
5957,pledge,gage
5958,combinations,combinaisons
5959,gore,sang
5960,supervisor,superviseur
5961,nixon,nixon
5962,stops,arrêts
5963,megabytes,mégaoctets
5964,theft,vol
5965,slated,prévu
5966,collective,collectif
5967,ken,ken
5968,predicting,prédire
5969,private,privé
5970,convention,convention
5971,wood,bois
5972,arafat,arafat
5973,cap,chapeau
5974,burst,éclat
5975,forces,forces
5976,tools,outils
5977,pregnant,enceinte
5978,notified,notifiée
5979,brown,brun
5980,emphasized,souligné
5981,mice,souris
5982,disc,disque
5983,secured,sécurisé
5984,harm,dommage
5985,certificates,certificats
5986,anymore,plus
5987,organize,organiser
5988,stretch,étendue
5989,eric,eric
5990,kidder,kidder
5991,pursuing,poursuivre
5992,rallied,ralliés
5993,nazi,nazi
5994,guest,invité
5995,regional,régional
5996,ga,géorgie
5997,liabilities,passifs
5998,differential,différentiel
5999,routers,routeurs
6000,consist,consister
6001,phenomenon,phénomène
6002,appealing,attirant
6003,listen,écouter
6004,mile,mile
6005,independent,indépendant
6006,ages,âge
6007,sons,fils
6008,varied,varié
6009,distributions,distributions
6010,survivors,survivants
6011,forum,forum
6012,allocated,alloué
6013,harold,harold
6014,challenging,difficile
6015,olympic,olympique
6016,sand,sable
6017,objections,objections
6018,h,h
6019,brazilian,brésilien
6020,sellers,vendeurs
6021,features,caractéristiques
6022,bull,taureau
6023,expandable,extensible
6024,proposing,proposer
6025,bugs,bogues
6026,counted,dénombré
6027,locate,localiser
6028,start-up,commencez
6029,fighters,combattants
6030,substitute,remplaçant
6031,transmitted,transmissible
6032,scenes,scènes
6033,withdrawn,retiré
6034,arguing,argumenter
6035,caribbean,caraïbes
6036,religion,religion
6037,chicken,poulet
6038,rear,arrière
6039,willingness,volonté
6040,consent,consentement
6041,colo,colo
6042,natural,naturel
6043,defining,définition
6044,tel,tel
6045,manually,manuellement
6046,add-in,complément
6047,vm,vm
6048,enterprises,entreprises
6049,transformation,transformation
6050,traffickers,trafiquants
6051,copying,copier
6052,reserved,réservé
6053,bonus,prime
6054,romania,roumanie
6055,templates,modèles
6056,dpi,dpi
6057,kernel,noyau
6058,epson,epson
6059,stance,position
6060,dominate,dominer
6061,interactions,interactions
6062,enemy,ennemi
6063,gang,gang
6064,wealthy,riche
6065,panels,panneaux
6066,caution,prudence
6067,test,test
6068,airports,aéroports
6069,broadcasting,radiodiffusion
6070,bearing,palier
6071,russell,russell
6072,quota,quota
6073,enterprise,entreprise
6074,transport,transport
6075,nitrogen,azote
6076,privacy,intimité
6077,adoption,adoption
6078,discharge,décharge
