francais,espanol
réalité,realidad
NEC,NEC
détermination,determinación
provoquant,causando
Cinq,cinco
sous-jacent,subyacente
exigeant,exigente
attaqué,atacado
baisse,soltar
nomination,nombramiento
Toronto,Toronto
semi-conducteur,semiconductor
Latin,latín
neige,nieve
Ou,o
apporte,trae
assister,asistir
mutuel,mutuo
stable,estable
procureurs,Los fiscales
ralentissez,ve más despacio
temps réel,tiempo real
étroit,cerca
Dan,Dan
prêt,préstamo
Présentation,presentación
contenu,contenido
entrer,entrar
manipulés,manejado
mesures,pasos
Brésil,Brasil
fournisseur,proveedor
connectivité,Conectividad
Colorado,Colorado
Lehman,Lehman
produit,producto
passager,pasajero
soutenir,sostener
hit-parade,gráficos
violations,violaciónes
équipé,equipado
révélateur,revelando
promesses,promesas
crucial,crucial
comparable,comparable
Casserole,pan
fiable,seguro
maire,alcalde
manifestants,manifestantes
tours,torres
dérivé,derivado
moteurs,Motores
partage,compartir
Salomon,Salomón
plus grand,mayor
modèles,modelos
Société,sociedad
implication,participación
devoir,tiene que
expansion,expansión
émulation,emulación
fille,chica
réputation,reputación
province,provincia
Investisseurs,Inversores
commutation,conmutación
cellulaire,celular
territoire,territorio
régler,resolver
choisir,elegir
Lewis,Lewis
déclaré,declarado
colonnes,columnas
vue,vista
Diego,Diego
baril,barril
yeux,ojos
adresses,dirección
écrivain,escritor
espèce,especies
vert,verde
sondages,encuestas
marché,mercado
problèmes,dificultades
République,república
Total,Gran Total
Fondation,fundación
Howard,Howard
rare,raro
manière,camino
interaction,interacción
Professionnel,profesional
pas eu,no
banquiers,Banqueros
CFR,CFR
tailles,tamaños
NASA,NASA
dose,dosis
coquille,vieira
Scott,"scott,"
shopping,compras
importé,importado
Espagne,España
échanges,intercambio
retrait,retirada
achat,compra
Marin,marina
revendeurs,Revendedores
jonque,basura
Votre,su
village,pueblo
convertir,convertir
administrateur,administrador
offres,ofertas
permis,permitido
en attendant,pendiente
Australien,australiano
poussant,empujando
adressée,dirigido
participer,participar
relations,relación
écrit,escrito
démontrer,demostrar
Téléphone,teléfono
centre-ville,centro de la ciudad
Asiatique,asiático
faux,FALSE
matrice,matriz
automatique,automático
cinquième,quinto
avocat,abogado
projetée,proyectado
compliqué,complicado
réductions,descuentos
excès,exceso
OLP,OLP
Drogue,droga
prisonniers,cautivos
vu,visto
missile,misil
tampon,buffer
Moyenne,promedio
diplomatique,diplomático
piscine,piscina
conserver,mantener
FDA,FDA
principe,principio
sain,saludable
dépendre,depender
1990,1990
restaurer,restaurar
assumer,asumir
modes,modos
garde,guardia
détaillants,minoristas
Romain,romano
communiquer,comunicarse
plainte,queja
adapté,adecuado
témoins,testigos
pénalité,pena
Ligue,liga
troublé,perturbado
Espagnol,español
Poste,posición
à part,aparte
perspective,perspectiva
conditions,condiciones
fente,espacio
alliés,aliados
salarié,asalariado
inspection,inspección
carte,mapa
retour,retorno
assurer,asegurar
Toshiba,Toshiba
calme,calma
Lt,Lt
minuscule,diminuto
transféré,transferido
Transport,transporte
Detroit,Detroit
bibliothèques,bibliotecas
accorder,conceder
automation,automatización
aide,ayuda
séquence,secuencia
brevet,patente
marché de,mercado
tirer,halar
professionnels,profesional
rejeté,rechazado
Protection,protección
précieux,precioso
MIS,MIS
brièvement,brevemente
stratégies,estrategias
mode,modo
Corporation,corporación
bébé,bebé
spécification,especificación
Troisième,tercera
capturé,capturado
recommandations,recomendaciones
Mer,mar
toucher,tocar
Informatique,Tecnologías De La Información
hostile,hostil
chirurgie,cirugía
du jour au lendemain,durante la noche
négocier,negociar
cher,caro
scanner,escáner
programme,programa de estudios
tempête,tormenta
constitutionnel,constitucional
répété,repetido
raconte,dice
Ressources,recursos
enquêter,investigar
défendeurs,Los acusados
vertical,vertical
culture,cultura
garde,guardia
plaidé,suplicado
Deuxième,segundo
Vendredi de,viernes
Charretier,carretero
acceptable,aceptable
ce qui est,que es
dangereux,peligroso
horloge,reloj
déclinant,declinante
pressions,presiones
rétabli,recuperado
logique,lógica
Mac,Mac
Vice,vicio
LaserJet,LaserJet
lutte,lucha
grande vitesse,alta velocidad
FAA,FAA
compagnon,compañero
répondu,contestado
échouer,fallar
Éducation,educación
préparation,preparación
alternatives,alternativas
Ils sont,Ellos son
audiences,Audiencias
pointu,agudo
soupçonné,sospecha
militants,activistas
L'Allemagne,Alemania
rural,rural
juges,jueces
Col,collar
Chapitre,capítulo
alimentation,suministro
arrangement,acuerdo
carbone,carbono
Majeur,mayor
L'Amérique,América
acheteur,comprador
gt,gt
améliorer,mejorar
peut être,puede ser
réfugiés,refugiados
difficulté,dificultad
guérilla,guerrilla
Juifs,Judios
Beyrouth,Beirut
Peut-être,Puede ser
poignées,manijas
OTAN,OTAN
Crédit,crédito
Anderson,Anderson
recueillies,coleccionado
ré,re
Rue,calle
porte,puerta
institutionnel,institucional
dramatique,dramático
diapositive,diapositiva
Longue,largo
essentiellement,esencialmente
Électronique,electrónico
suspect,sospechoso
Wang,Wang
pouvoirs,potestades
Cabinet,oficina
De,desde
évaluer,evaluar
pollution,polución
volant,vuelo
Pétrole,aceite
Joe,Joe
couverture,cubierta
lentement,despacio
routines,rutinas
collègues,colegas
reconnu,conocido
Irlande,Irlanda
Ave,avenida
drapeau,bandera
Basé,basado
choix,elección
bateau,barco
Ambassade,embajada
à plusieurs reprises,repetidamente
nœuds,nodos
radical,radical
précision,precisión
séparément,por separado
Route,carretera
Salle,habitación
Sans,sin
Soutien,apoyo
serré,apretado
objectif,objetivo
ultérieur,posterior
Étoile,estrella
soigneusement,cuidadosamente
pas cher,barato
résoudre,resolver
contribution,contribución
contrôleurs,controladores
Alaska,Alaska
composition,composición
Radio,radio
sol,suelo
Borland,Borland
attirer,atraer
maintient,mantiene
moins cher,barato
compétence,competencia
Marie,María
billet,billete
réservoirs,tanques
marque,marca
Aéroport,aeropuerto
Investissement,inversión
réaliser,lograr
étoffe,paño
fil,alambre
révolution,revolución
secteurs,sectores
bruit,ruido
sous-comité,subcomisión
rumeurs,rumores
intervention,intervención
Conn,Conn
Henri,Henry
club,club
Minnesota,Minnesota
scandale,escándalo
programmeur,programador
se asseoir,sentarse
ne importe où,dondequiera
p,p
explique,explica
parlé,hablada
Plus tard,más tarde
à peine,apenas
nœud,nodo
approches,enfoques
Permet,permite
incertitude,incertidumbre
augmenté,aumentado
cheminée,hogar
produit,producto
faiblesse,debilidad
fondateur,fundador
Stephen,Stephen
pence,centavo
Pakistan,Pakistán
nom,nombre
Chimique,químico
confiant,seguro
Stanley,Stanley
argent,dinero
acte d'accusation,acusación
communiste,comunista
masse,masa
agricole,agrícola
Wright,Wright
Jordanie,Jordania
cent,centavo
Maire,alcalde
Hussein,Hussein
Seattle,Seattle
sexe,sexo
Sony,Sony
ordinaire,ordinario
Projet,proyecto
heureux,feliz
tendances,tendencias
fibre,fibra
Type,tipo
occupé,ocupado
costumes,traje
Page,página
anniversaire,aniversario
espérant,la esperanza
Je,yO
Télécom,Telecom
Nord-ouest,Noroeste
symbole,símbolo
régime,régimen
Néerlandais,holandés
charge,carga
lecteurs,Lectores
Contras,Contras
épargne,ahorro
Grandiose,magnífico
abus,abuso
MHz,MHz
Barry,Barry
limites,limitaciones
sens,significado
Rapport,informe
nécessairement,necesariamente
réorganisation,reorganización
Mexicain,mexicano
Application,aplicación
hydrogène,hidrógeno
converti,convertido
exception,excepción
approuver,cerrar sesión
réunis,juntos
marché,mercado
spécialiste,experto
actes,acciones
Avis,aviso
Espace,espacio
particules,partículas
étiquettes,etiquetas
résident,residente
gagnant,ganador
étiquette,etiqueta
Taiwan,Taiwán
encouragé,alentó
Nicaragua,Nicaragua
démission,renuncia
invité,invitado
objectif,objetivo
enquêtes,Investigaciones
prévisions,previsiones
intention,intención
amusement,divertido
gars,tipo
lit,cama
fuite,vuelo
Budget,presupuesto
découvertes,descubrimientos
agression,agresión
Personnel,personal
parfait,tono perfecto
président de,presidente
Liste,lista
Clark,Clark
vaste,ancho
prévu,planificado
favori,favorito
Taylor,Taylor
consécutif,consecutivo
veto,veto
trim,recortar
existe,ya está
Arizona,Arizona
Malade,enfermo
Moody,Moody
diminuer,disminuir
ministère,ministerio
passage,pasaje
victime,víctima
terrains,jardines
statistique,estadística
Prêt,préstamo
rebelle,rebelde
introduit,introducido
sterling,libra esterlina
cuivre,cobre
visité,visitado
Électronique,electrónico
bienvenue,bienvenida
impressionnant,impresionante
poussée,empuje
grèves,huelgas
considérablement,muy
Renard,zorro
Harvard,Harvard
en effet,en efecto
Ronald,Ronald
lié,encuadernado
commerçant,comerciante
Vert,verde
offres,ofertas
mensonges,mentiras
Morris,Morris
retards,retrasos
optimiste,optimista
sons,sonidos
défaut,criticar
république,república
MCI,MCI
question,problema
capture,captura
préparer,preparar
préférer,preferir
finition,acabado
Lawrence,Lawrence
MIPS,MIPS
Vue,vista
souffrance,sufrimiento
dépendant,dependiente
sert,sirve
démocratique,democrático
intégrer,integrar
absence,ausencia
faute,criticar
tentative,intento
regarder,ver
mélanger,mezclar
périodes,períodos
mentionner,mencionar
étoiles,estrellas
commandant,comandante
évasion,escape
Donc,por lo tanto
scores,puntuaciones
émergé,surgido
Gaz,gas
exécuté,ejecutado
blâme,culpa
posé,puesto
EISA,EISA
générateur,generador
récupérer,recuperar
idéal,ideal
support,apoyo
atmosphère,ambiente
marchandise,mercancía
Club,club
Dieu,Dios
Outre,además
banque de,banco
l'industrie de,industria
visé,referido
des dizaines,docenas
démonstrations,demostraciones
pipeline,tubería
Warner,Warner
soja,soja
aléatoire,aleatorio
déterminer,determinar
poursuite,búsqueda
salaire,salario
devises,moneda
insisté,insistido
réserve,reserva
convaincu,convencido
calcul,cálculo
mécanique,mecánico
fumée,humo
scénario,guión
but,puntuación
Chine,China
indication,indicación
Chaque,cada
maintien,mantenimiento
enregistrement,registrarse
doublé,doble
marcher,caminar
Mardi de,martes
ion,ion
aides,SIDA
éditorial,editorial
Daniel,Daniel
structural,estructural
combat,lucha
brut,bruto
Goldman,Goldman
comptabilisés,contado
alcool,alcohol
acceptation,aceptación
FCC,FCC
remarques,observaciones
cerveau,cerebro
licence,licenciatura
CV,CV
dessus,arriba
balle,bala
équations,ecuaciones
Denver,Denver
disposition,provisión
AP,AP
manque,falta
garantie,garantía
journaliste,reportero
commutateurs,Interruptores
pressage,prensado
beaucoup,tanto
rapide,rápido
Gary,Gary
conformité,conformidad
Nikkei,Nikkei
boutiques,compras
3Com,3Com
intégrité,integridad
éditer,editar
résultat,resultado
interrogé,cuestionado
oui,sí
réservoir,tanque
Irlandais,irlandés
Reagan,Reagan
viande,carne
potentiellement,potencialmente
Intérieur,dentro
divisions,divisiones
énorme,enorme
Zone,zona
séance,sesión
porter,desgaste
Cependant,sin embargo
vents,viento
Sociétés,Empresas
sombre,oscuro
intelligent,inteligente
dialogue,diálogo
Conception,diseño
Science,ciencia
Commentaires,Comentarios
améliorations,mejoras
deux tiers,dos tercios
ordre du jour,orden del día
économie,economía
Base,base
dates,fechas
examiner,examinar
modélisation,modelado
Barbara,Bárbara
sécheresse,sequía
vision,visión
Sécurité,seguridad
de presse,liberación
soulèvement,levantamiento
gagner,victoria
Contact,contacto
acoustique,acústico
Bien,bueno
procédure,procedimiento
chances,posibilidades
enchaînement,secuencia
rendez-vous,nombramiento
interdit,prohibido
identique,idéntico
curseur,cursor
justice,justicia
émergents,emergentes
Utah,Utah
Nelson,Nelson
quartier,barrio
compter,contar
inverser,marcha atrás
respect,respeto
avances,insinuaciones
hélicoptère,helicóptero
Hongrie,Hungría
divulguer,revelar
porte,puerta
Gaza,Gaza
subventions,subvenciones
approvisionnement,obtención
naissance,nacimiento
investi,invertido
disposition,provisión
correspondant,amigo por correspondencia
Droit,derecho
salaires,salario
enregistrer,registro
en privé,en privado
volumes,volúmenes
ciblée,dirigido
pédagogique,educativo
brûlé,quemado
exposé,expuesto
opérationnel,operacional
perspective,perspectiva
macros,Macros
concours,competencia
Suisse,Suiza
Bruce,Bruce
regardé,visto
dépasser,exceder
spectre,espectro
films,cine
Ni,ni
également,también
Photocopier,fotocopia
Phénix,fénix
sauvetage,rescate
participation,participación
hôtels,Hoteles
contacté,contactados
professeur,profesor
avant impôt,antes de impuestos
vital,vital
cadre,marco
Ouvriers,Trabajadores
feuille,hoja
totalement,totalmente
poursuivre,continuar
famille,familia
Beaucoup,tanto
timing,sincronización
bouton,botón
contrôle,control
gammes,rangos
associé,asociado
fissure,grieta
Traders,Comerciantes
SE,SE
initiative,iniciativa
gris,gris
commentaires,Comentarios
Ingénierie,ingeniería
supposé,asumido
sonde,sonda
manifestants,manifestantes
gouvernant,gobernante
considérablement,muy
libéral,liberal
Avant,antes
Hills,Hills
recommander,recomendar
tremblement de terre,terremoto
Allen,Allen
survivre,sobrevivir a
demain,mañana
abandonné,abandonado
vapeur,vapor
étapes,etapas
Local,local
poser,establecer
AT & T,AT & T
configurations,configuraciones
hier,ayer
ne devrait pas,no debe
Croix,Cruz
Simon,Simon
reflétant,reflejando
Islamique,islámico
Lundi de,lunes
USA,EE.UU.
porter,desgaste
Mémorial,memorial
transferts,transferencias
divertissement,entretenimiento
fondation,fundación
les fans,los fans
composé,arreglado
amical,amistoso
paramètre,parámetro
partiel,parcial
analysé,probado
billets,billetes
souterrain,subterráneo
Texaco,Texaco
mise à jour,actualizado
chutes,caídas
controversé,polémico
combattu,luchado
Exxon,Exxon
effectuer,llevar a cabo
rupture,ruptura
jugement,juicio
OPEP,OPEP
concepteurs,Diseñadores
couches,pañales
débentures,obligaciones
HyperCard,HyperCard
autorisation,autorización
glace,hielo
feuilles de calcul,hojas de cálculo
cessez-le-feu,alto el fuego
représentation,representación
MCA,MCA
environnant,circundante
proéminent,prominente
Hollywood,Hollywood
émissions,emisiones
en fin de compte,por último
deux ans,dos años
résumé,resumen ejecutivo
confortable,cómodo
linéaire,lineal
tabac,tabaco
conspiration,conspiración
modifier,cambio
compact,compacto
balayage,tomografía
responsabilité,responsabilidad
Marcos,Marcos
Suis,soy
délégation,delegación
exécution,ejecución
achèvement,terminación
navire,barco
attributs,atributos
élaborer,elaborar
mesure,medir
portée,alcance
fonctionnel,funcional
pertinent,pertinente
atteindre,llegar
réponses,Respuestas
hypothèques,hipoteca
sans abri,sin hogar
cérémonie,ceremonia
cahier,cuaderno
accommoder,acomodar
roman,novela
cartouche,cartucho
café,cafetería
édition,edición
Atout,baza
Forêt,bosque
entrepreneurs,contratistas
contexte,contexto
Résultats,resultados
Libération,liberación
du vin,vino
dominé,dominado
adversaires,oponentes
utilisateur de,usuario
pouce,pulgar
Drew,dibujó
circuits,circuitos
médecin,médico
complexité,complejidad
FDDI,FDDI
préparation,preparación
émission,emisión
bêta,beta
Intégré,integrado
pénurie,escasez
dépôt,depósito
Circuit,circuito
c,c
séjourné,hospedado
Acier,acero
barres,bares
enquête,investigación
arrêt,deténgase
équation,ecuación
Solidarité,solidaridad
Drive,conducir
Afghanistan,Afganistán
législatif,legislativo
confirmer,confirmar
Actuellement,actualmente
peindre,pintar
célèbre,famoso
convertible,convertible
réveiller,despertar
Aumône,limosna
réalisé,ejecutado
béton,hormigón
résolu,resuelto
stimulé,estimulado
3-D,3-D
compteur,contador
Don,don
Larry,Larry
souffrir,sufrir
conclusion,conclusión
chambres,habitaciones
CD,CD
libre,libre
ROM,ROM
vérification,verificación
etc,etcétera
journalistes,periodistas
segments,segmentos
composés,compuestos
inscription,registro
courtier,corredor
erreur,error
installer,preparar
Plus,más
poursuivi,perseguido
enlèvement,eliminación
corruption,corrupción
PDG,CEO
mécanismes,mecanismos
programme de,programa
supérieur,superior
troy,troy
tout le monde,todo el mundo
bière,cerveza
concentrer,foco
sœur,hermana
départ,salida
POPULAIRE,POPULAR
Pennsylvanie,Pensilvania
1960,1960
dîner,cena
golfe,golfo
MB,MB
désir,deseo
mph,mph
plus large,más amplio
Fitzwater,Fitzwater
rails,pistas
Mitchell,Mitchell
FR,FR
Irak,Irak
vraiment,realmente
sponsorisé,apadrinado
murs,paredes
Sears,Sears
diplomates,diplomáticos
consortium,consorcio
séparation,separación
moi-même,yo mismo
conseillers,Asesores
se demander,preguntarse
aiguille,aguja
Campbell,Campbell
mince,delgado
attitude,actitud
controverse,controversia
Holdings,Holdings
Louisiane,Luisiana
francs,francos
accompagné,acompañado
contribuer,contribuir
violés,violados
crimes,crímenes
profondeur,profundidad
mises à jour,actualizaciones
instruments,instrumentos
Bleu,azul
Turbo,Turbo
en avant,adelante
le parti de,el partido de
sexuel,sexual
républiques,Repúblicas
sucre,azúcar
Indiana,Indiana
Tous les jours,Cada día
vide,vacío
Oregon,Oregón
Arthur,Arturo
cherche,buscando
usines,fábricas
entreprise,negocios
écrasé,aplastado
municipal,municipal
Applications,Aplicaciones
pêche,melocotón
Moore,Moore
soumettre,presentar
Philip,Philip
se sent,siente
Cambridge,Cambridge
prometteur,prometedor
technologique,tecnología
exact,exacto
visible,visible
communautés,comunidades
bloqué,obstruido
Petit,poco
consultants,consultores
contrairement à,desemejante
varier,variar
coin,esquina
étrangers,extranjero
irradiation,irradiación
adopter,adoptar
Al,al
Poor,pobre
trois ans,tres años
ère,era
sénateurs,senadores
Paradoxe,paradoja
situations,circunstancias
neutron,neutrón
extensions,extensiones
Van,camioneta
demande,aplicación
feuilles,hojas
branches,ramas
ils ont,ellos tienen
citant,cita
arrangements,arreglos
g,g
réduit,reducido
restaurants,restaurantes
profil,perfil
détection,detección
déprimé,deprimido
pétition,petición
Hôtel,hotel
expression,expresión
principes,principios
Bureau,oficina
encourageant,alentador
mobile,móvil
quitter,dejar
admissible,elegible
faible coût,bajo costo
Bâtiment,edificio
classifié,clasificado
indiquant,indicando
références,Referencias
élan,impulso
barrières,barreras
jeune,joven
vérité,verdad
Spécial,especial
comparer,comparar
étudiant,estudiante
concentrations,concentraciones
corporation,corporación
Mississippi,Misisipí
régimes,dietas
mâle,masculino
plus fort,más fuerte
Séparément,por separado
Andrew,Andrés
10 ans,10 años
renouvelé,renovado
balayage,tomografía
Singapour,Singapur
Israël,Israel
vivant,vida
pied,pie
vous-même,usted mismo
routes,carreteras
existence,existencia
porter,desgaste
surmonter,superalo
quarts,cuarteles
arrangé,fijo
Thatcher,Thatcher
forçant,obligando
carte mère,placa madre
évidemment,obviamente
annonce,anuncio
OSF,OSF
assouplies,relajado
distributeurs,distribuidores
incitations,incentivos
affaire,caso
dix,diez
ponts,puentes
Magasins,Tiendas
détectée,detectado
douleur,dolor
inventaires,inventarios
fonctions,funciones
combiner,combinar
Année,año
intégrer,integrar
Tass,Tass
dépendance,dependencia
animal,animal
rouleau,rollo
voulu,deseado
mal,mal
distribuer,distribuir
emprunt,préstamo
vétéran,veterano
Capitole,Capitolio
Peu,poco
concepts,conceptos
diplômé,graduado
visiteurs,Visitantes
limité,limitado
effet de levier,apalancamiento
icônes,Iconos
thème,tema
retirer,golpee ligeramente hacia fuera
recueillir,recoger
éliminé,eliminado
prudent,cauteloso
Ordre,orden
levé,estudio
math,matemáticas
oxygène,oxígeno
Ne pas,no
Édition,edición
Gorbatchev,Gorbachov
survécu,sobrevivido
conduite,conducción
boutons,botones
théorique,teorético
continu,continuo
réclame,publicidad
Russie,Rusia
le plus rapide,el más rápido
Produit,producto
Disney,Disney
particule,partícula
officiellement,oficialmente
SGBD,DBMS
effectue,realiza
pistolets,pistolas
Seigneur,Dios
visuel,visual
Pro,pro
AppleTalk,AppleTalk
Assistant,asistente
fusionner,fundirse
autoroute,autopista
prototype,prototipo
poursuites,actas
permis,permitido
entendu,oído
Brian,Brian
imposer,imponer
plongé,profundo
caméra,cámara
Département de,departamento
trousse,equipo
base-ball,béisbol
présidence,presidencia
garanti,garantizado
combattre,lucha
femelle,femenino
chambre,habitación
Pittsburgh,Pittsburgh
choc,choque
ordonnancement,programación
Silicium,silicio
générateur,generador
satisfait,satisfecho
entrées,entradas
Oui,"Sí, Lo Haré"
Six,seis
personne âgée,anciano
articles,bienes
Lien,enlace
civils,civiles
rappel,recordatorio
exploration,exploración
usage,uso
promis,prometido
doit,necesario
Terre,tierra
présentations,presentaciones
volé,robado
eaux,aguas
récompenses,recompensas
contour,contorno
soutient,soportes
Antonio,Antonio
Roger,Roger
quantités,cantidades
atterrissage,aterrizaje
Agence de,agencia
ambassadeur,embajador
bus,autobús
Polonais,polaco
réactions,reacciones
Terre,tierra
amendes,multas
algorithmes,algoritmos
manqué,perdido
un an,año
audit,auditoría
rarement,raramente
clair,claro
rachat,redención
incendies,incendios
Ashton-Tate,Ashton-Tate
Assemblage,montaje
Oklahoma,Oklahoma
routes,carreteras
Walter,Walter
spécialistes,Especialistas
Mercredi de,miércoles
mines,minas
violent,violento
portes,puertas
Pascal,pascal
témoin,testigo
Kodak,Kodak
tenter,intento
configuré,configurado
explication,explicación
extraordinaire,extraordinario
intense,intenso
détaillant,detallista
combustion,combustión
Mandela,Mandela
Protocole,protocolo
bail,arrendamiento
traiter,acuerdo
échecs,ajedrez
cartes,Tarjetas
mis à jour,actualizado
ambassade,embajada
Aucun,no
pétrole,aceite
magazines,revistas
litige,litigio
Wisconsin,Wisconsin
conviction,convicción
En outre,Adicionalmente
rivière,río
dévoilé,dio a conocer
ignoré,desconocido
radioactif,radioactivo
à distance,desde una distancia
référant,referente
divulgation,revelación
Philippines,Filipinas
Bagdad,Bagdad
D'entreprise,corporativo
Cuba,Cuba
de toute façon,de todos modos
économie,economía
institution,institución
cheveux,cabello
mètres,metros
spécialisé,especializado
dividendes,dividendos
fruit,fruta
Thompson,Thompson
cabinet,oficina
statique,estático
buy-out,buy-out
administrateurs,administradores
enregistrer,registro
métiers,negocios
compilé,compilado
réticent,reticente
Intel,Intel
Dennis,Dennis
Palo,Palo
Art,arte
débit,débito
traditionnellement,tradicionalmente
Commun,común
temporairement,temporalmente
coprocesseur,coprocesador
rangs,filas
fluide,fluido
routage,enrutamiento
30 ans,30 años
licenciements,despidos
Egypte,Egipto
réalités,hechos
entrepreneur,contratista
théâtre,teatro
enchère,oferta
contribuables,contribuyentes
urbain,urbano
boom,auge
aspect,apariencia
Varsovie,Varsovia
embauche,contratación
paie,nómina de sueldos
correction,corrección
intention,intención
discrimination,discriminación
Reynolds,Reynolds
défis,retos
Francfort,Frankfort
artistes,artistas
effondré,caído
ils vont,lo harán
Nucléaire,nuclear
attiré,atraído
recherche,buscados
bureau,oficina
renversement,inversión
jouir,disfrutar
Mich,Mich
conséquences,secuelas
Delta,delta
gars,tipo
culturel,cultural
aider,ayuda
mélange,mezcla
système de,sistema
Où,donde
calendrier,calendario
régulièrement,regularmente
incendie,fuego
recommandation,recomendación
historique,histórico
popularité,popularidad
Affaires,negocios
SAA,SAA
blessure,lesión
épais,grueso
Carré,cuadrado
installations,comodidades
soucis,problemas
Lincoln,Lincoln
caché,oculto
péage,peaje
gauchiste,izquierdista
plus large,más amplio
menaces,amenazas
Plutôt,más bien
deviner,adivinar
activement,activo
adaptateurs,adaptadores
Humain,humano
fraction,fracción
dollar de,dólar
Arabes,árabes
inconnu,desconocido
Civil,civil
Mercantile,mercantil
courbe,curva
procureur,fiscal
Maine,Maine
déçu,decepcionado
chargement,loading
Qu'est-ce,Quién es
PM,primer ministro
fabrication,fabricación
bandes,bandas
un tiers,un tercio
Se enregistrer,Registrarse
pauses,descansos
vêtements,ropa
emploie,usos
Missouri,Misuri
Stanford,Stanford
structuré,estructurado
bas de gamme,de gama baja
Doyen,decano
honneur,honor
relances,recordatorios
chien,perro
Aviation,aviación
poursuite,búsqueda
perspective,perspectiva
manger,comer
périphériques,dispositivos
distributeur,distribuidor
confusion,confusión
prédit,previsto
Marchandise,mercancía
Prince,príncipe
de façon spectaculaire,dramáticamente
arriver,llegar
recours,recurso
bien-être,bienestar
dialogue,diálogo
remplaçant,sustituto
fer,hierro
isolé,aislado
défaite,derrota
numérique,digital
Dans,en
Résidentiel,residencial
EDT,EDT
mariage,matrimonio
concentration,concentración
successeur,sucesor
Tour,torre
opposer,oponerse a
annulé,cancelado
adhésion,afiliación
multitâche,Multitarea
Volonté,voluntad
Vidéo,vídeo
campus,campus
Basée York-,York- basado
paquet,paquete
icône,icono
rivaux,rivales
rentabilité,rentabilidad
camps,campamentos
Ligne,línea
Laboratoire,laboratorio
forêt,bosque
économies,ahorros
acteur,jugador
Queue,cola
Pouvoir,energía
Ancien,ex
boucle,rizado
lait,leche
Tondeuse,cortacésped
Maryland,Maryland
Email,E-mail
informé,informado
courant,corriente
Genève,Ginebra
DB2,DB2
Vietnamien,vietnamita
Commerce,comercio
reçoit,recibe
écrivains,escritores
Ross,Ross
Autorités,autoridades
commuté,Switched
absolument,absolutamente
fréquent,frecuente
éditeurs,editores
Tennessee,Tennesse
personnes,gente
dispersé,disperso
Hughes,Hughes
Radiographie,radiografía
Midwest,Midwest
titre,título
incorporée,incorporado
football,fútbol
filiales,filiales
indépendamment,independientemente
défendre,defender
utile,útil
survie,supervivencia
monté en flèche,disparado
sous-système,subsistema
licences,Licencias
analyses,análisis
comités,comités
Austin,Austin
trou,agujero
implications,implicaciones
agi,actuado
Fremont,Fremont
386SX,386SX
York de,York
fumeur,de fumar
quatrième trimestre,cuarto trimestre
promotion,promoción
Alto,alto
génère,genera
prudent,cauteloso
otage,rehén
garçons,Niños
aérospatial,aeroespacial
Suite,siguiente
Tourneur,tornero
Normes,Normas
officiellement,oficialmente
générique,genérico
devrait,debería
contacts,contactos
refroidissement,enfriamiento
réduit,reducido
concert,concierto
Suède,gamuza
l'administration de,administración
Hampshire,Hampshire
Fabricants,Fabricantes
mot de passe,contraseña
moyenne,promedio
soudain,de repente
chaud,caliente
dettes,responsabilidad
Laboratoires,Laboratorios
pose,plantear
considéré,considerado
inadéquat,insuficiente
exclusif,exclusivo
littérature,literatura
Global,total
voyages,de viaje
violation,violación
Partenaires,Partners
consensus,consenso
contraintes,restricciones
AG,AG
qualifié,calificado
Question,problema
cours,precio
soutient,soportes
motivation,motivación
camaïeu,monocromo
construit,construido
amendements,enmiendas
De jeudi,jueves
tradition,tradición
négocié,negociado
agriculture,agricultura
intégré,integrado
sanctions,sanciones
dégagé,claro
BIOS,BIOS
autorisé,autorizado
réponses,Respuestas
Utilisateur,usuario
constitution,constitución
désigné,diseñado
moteur,motor
énorme,enorme
accessible,accesible
échoue,falla
ventures,empresas
musée,museo
minimal,mínimo
Point,punto
somme,suma
favorable,favorable
présidents,Presidentes
frappant,llamativo
Bentsen,Bentsen
souligné,fuera
exécuter,realizar
sélection,selección
paramètres,Ajustes
pack,paquete
arène,arena
investisseur,inversor
rappelé,recordó
y,ya está
tube,tubo
clinique,clínica
bondi,saltado
Dinde,pavo
Langue,idioma
évolution,evolución
musical,musical
conjointement,conjuntamente
par,por
Bénéfices,ganancias
diagnostique,diagnóstico
avoir l'intention,intentar
graphiques,gráficos
vêtements,ropa
GE,GE
Jerry,Jerry
métrique,métrico
établissement,institución
haut-parleur,altavoz
Commercialisation,mercadeo
obtenu,obtenido
Comptabilité,contabilidad
flots,ondas
totalisant,totalizando
annonçant,publicidad
garanties,garantías
Contra,contra
districts,distritos
lien,enlace
de haut niveau,de alto nivel
Appel,apelación
opposé,opuesto
foi,fe
chapitre,capítulo
objectifs,metas
difficulté,dificultad
accompli,realizado
Marcheur,andador
graphique,gráfico
fixer,arreglar
cargaison,carga
charge,carga
tuyau,manguera
rail,rail
gagner,victoria
Regardez,¡Mire
moissonneuses-batteuses,cosechadoras
fabriqué,hecho
interviews,entrevistas
expédition,expedición
forage,perforación
cultures,culturas
parlementaire,parlamentario
lsqb,lsqb
Co.,Co.
éclatée,explotado
ouvre,abre
mini-ordinateur,miniordenador
villes,pueblos
bloc,bloque
graisse,grasa
Séoul,Seúl
infériorité numérique,shorthanded
SNA,SNA
placement,inversión
designer,diseñador
ascenseur,ascensor
